Year,ACE
1.971000000000000000e+03,1.393000000000000114e+02
1.972000000000000000e+03,1.371999999999999886e+02
1.973000000000000000e+03,1.147000000000000028e+02
1.974000000000000000e+03,9.029999999999999716e+01
1.975000000000000000e+03,1.125999999999999943e+02
1.976000000000000000e+03,1.215000000000000000e+02
1.977000000000000000e+03,2.230000000000000071e+01
1.978000000000000000e+03,2.076999999999999886e+02
1.979000000000000000e+03,5.739999999999999858e+01
1.980000000000000000e+03,7.829999999999999716e+01
1.981000000000000000e+03,7.279999999999999716e+01
1.982000000000000000e+03,1.611999999999999886e+02
1.983000000000000000e+03,2.061999999999999886e+02
1.984000000000000000e+03,1.936999999999999886e+02
1.985000000000000000e+03,1.930999999999999943e+02
1.986000000000000000e+03,1.077999999999999972e+02
1.987000000000000000e+03,1.339000000000000057e+02
1.988000000000000000e+03,1.142999999999999972e+02
1.989000000000000000e+03,1.117999999999999972e+02
1.990000000000000000e+03,2.495000000000000000e+02
1.991000000000000000e+03,1.804000000000000057e+02
1.992000000000000000e+03,2.943000000000000114e+02
1.993000000000000000e+03,2.018000000000000114e+02
1.994000000000000000e+03,1.851999999999999886e+02
1.995000000000000000e+03,1.002000000000000028e+02
1.996000000000000000e+03,5.389999999999999858e+01
1.997000000000000000e+03,1.708000000000000114e+02
1.998000000000000000e+03,1.355999999999999943e+02
1.999000000000000000e+03,9.020000000000000284e+01
2.000000000000000000e+03,9.600000000000000000e+01
2.001000000000000000e+03,9.059999999999999432e+01
2.002000000000000000e+03,1.245999999999999943e+02
2.003000000000000000e+03,5.660000000000000142e+01
2.004000000000000000e+03,7.109999999999999432e+01
2.005000000000000000e+03,9.659999999999999432e+01
2.006000000000000000e+03,1.569000000000000057e+02
2.007000000000000000e+03,5.260000000000000142e+01
2.008000000000000000e+03,8.379999999999999716e+01
2.009000000000000000e+03,1.264000000000000057e+02
2.010000000000000000e+03,5.120000000000000284e+01
2.011000000000000000e+03,1.209000000000000057e+02
2.012000000000000000e+03,9.850000000000000000e+01
2.013000000000000000e+03,7.479999999999999716e+01
2.014000000000000000e+03,2.024000000000000057e+02
2.015000000000000000e+03,2.901999999999999886e+02
2.016000000000000000e+03,1.849000000000000057e+02
2.017000000000000000e+03,1.007000000000000028e+02
2.018000000000000000e+03,3.181000000000000227e+02
2.019000000000000000e+03,9.770000000000000284e+01
2.020000000000000000e+03,7.729999999999999716e+01
2.021000000000000000e+03,9.400000000000000000e+01
